_id,Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Other installment plans,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
904,No,... < 0 DM,18,no credits taken/ all credits paid back duly,furniture/equipment,3114,< 100 DM,< 1 year,1,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,26,none,rent,1,skilled employee / official,1,No,Yes
905,No,... < 0 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,2124,< 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,real estate,24,none,rent,2,skilled employee / official,1,No,Yes
906,No,... < 0 DM,18,all credits at this bank paid back duly,furniture/equipment,1553,< 100 DM,1 <= ... < 4 years,4,male : single,none,3,car or other,44,bank,own,1,skilled employee / official,1,No,Yes
907,No,... < 0 DM,30,existing credits paid back duly till now,furniture/equipment,2406,< 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee / official,1,No,Yes
908,No,... < 0 DM,24,delay in paying off in the past,car (new),1333,< 100 DM,unemployed,4,male : single,none,2,real estate,43,none,for free,2,skilled employee / official,2,No,Yes
909,No,... < 0 DM,48,no credits taken/ all credits paid back duly,furniture/equipment,7119,< 100 DM,1 <= ... < 4 years,3,male : single,none,4,unknown / no property,53,none,for free,2,skilled employee / official,2,No,Yes
910,No,... < 0 DM,24,delay in paying off in the past,car (new),4870,< 100 DM,1 <= ... < 4 years,3,male : single,none,4,unknown / no property,53,none,for free,2,skilled employee / official,2,No,Yes
911,No,... < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),691,< 100 DM,>= 7 years,4,male : single,none,3,building society savings agreement/ life insurance,35,none,own,2,skilled employee / official,1,No,Yes
912,No,... < 0 DM,42,delay in paying off in the past,radio/television,4370,< 100 DM,4 <= ... < 7 years,3,male : single,none,2,building society savings agreement/ life insurance,26,bank,own,2,skilled employee / official,2,Yes,Yes
913,No,... < 0 DM,36,all credits at this bank paid back duly,furniture/equipment,2746,< 100 DM,>= 7 years,4,male : single,none,4,car or other,31,bank,own,1,skilled employee / official,1,No,Yes
914,No,... < 0 DM,24,no credits taken/ all credits paid back duly,furniture/equipment,4110,< 100 DM,>= 7 years,3,male : single,none,4,unknown / no property,23,bank,rent,2,skilled employee / official,2,No,Yes
915,No,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,2462,< 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,22,none,own,1,skilled employee / official,1,No,Yes
916,No,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1282,< 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,20,none,rent,1,skilled employee / official,1,No,Yes
917,No,0 <= ... < 200 DM,12,no credits taken/ all credits paid back duly,furniture/equipment,2969,< 100 DM,< 1 year,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,25,none,rent,2,skilled employee / official,1,No,Yes
918,No,... < 0 DM,48,no credits taken/ all credits paid back duly,car (used),4605,< 100 DM,>= 7 years,3,male : single,none,4,unknown / no property,24,none,for free,2,skilled employee / official,2,No,Yes
919,No,... < 0 DM,48,critical account/ other credits existing (not at this bank),car (used),6331,< 100 DM,>= 7 years,4,male : single,none,4,unknown / no property,46,none,for free,2,skilled employee / official,1,Yes,Yes
920,No,... < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,3552,< 100 DM,4 <= ... < 7 years,3,male : single,none,4,car or other,27,bank,own,1,skilled employee / official,1,No,Yes
921,No,... < 0 DM,12,all credits at this bank paid back duly,car (new),697,< 100 DM,< 1 year,4,male : single,none,2,car or other,46,bank,own,2,skilled employee / official,1,Yes,Yes
922,No,... < 0 DM,24,existing credits paid back duly till now,car (new),1442,< 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,car or other,23,none,rent,2,skilled employee / official,1,No,Yes
923,No,... < 0 DM,27,no credits taken/ all credits paid back duly,business,5293,< 100 DM,unemployed,2,male : single,none,4,building society savings agreement/ life insurance,50,none,own,2,skilled employee / official,1,Yes,Yes
924,No,... < 0 DM,21,delay in paying off in the past,education,3414,< 100 DM,< 1 year,2,male : single,none,1,building society savings agreement/ life insurance,26,stores,own,2,skilled employee / official,1,No,Yes
925,No,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,2039,< 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,real estate,20,none,rent,1,skilled employee / official,1,No,Yes
926,No,... < 0 DM,24,all credits at this bank paid back duly,business,3161,< 100 DM,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/ life insurance,31,bank,rent,1,skilled employee / official,1,Yes,Yes
927,No,... < 0 DM,12,existing credits paid back duly till now,retraining,902,< 100 DM,4 <= ... < 7 years,4,male : married/widowed,none,4,building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,No,Yes
928,No,... < 0 DM,48,existing credits paid back duly till now,car (used),10297,< 100 DM,4 <= ... < 7 years,4,male : single,none,4,unknown / no property,39,none,for free,3,skilled employee / official,2,Yes,Yes
929,No,0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,business,14421,< 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,25,stores,own,1,skilled employee / official,1,Yes,Yes
930,No,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),car (new),1056,< 100 DM,>= 7 years,3,male : single,guarantor,3,real estate,30,none,own,2,skilled employee / official,1,No,Yes
931,No,... < 0 DM,12,existing credits paid back duly till now,car (new),1274,< 100 DM,< 1 year,3,female : divorced/separated/married,none,1,real estate,37,bank,own,1,unskilled - resident,1,No,Yes
932,No,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1223,< 100 DM,>= 7 years,1,male : divorced/separated,none,1,real estate,46,none,rent,2,skilled employee / official,1,No,Yes
933,No,... < 0 DM,12,existing credits paid back duly till now,car (new),1372,< 100 DM,4 <= ... < 7 years,2,male : divorced/separated,none,3,car or other,36,none,own,1,skilled employee / official,1,No,Yes
934,No,... < 0 DM,16,critical account/ other credits existing (not at this bank),car (new),2625,< 100 DM,>= 7 years,2,male : single,guarantor,4,building society savings agreement/ life insurance,43,none,rent,1,skilled employee / official,1,Yes,No
935,No,... < 0 DM,20,critical account/ other credits existing (not at this bank),car (new),2235,< 100 DM,1 <= ... < 4 years,4,male : married/widowed,guarantor,2,building society savings agreement/ life insurance,33,bank,rent,2,skilled employee / official,1,No,No
936,No,0 <= ... < 200 DM,9,existing credits paid back duly till now,furniture/equipment,959,< 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee / official,1,No,Yes
937,No,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),car (new),884,< 100 DM,>= 7 years,4,male : single,none,4,car or other,36,none,own,1,skilled employee / official,2,Yes,Yes
938,No,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),1246,< 100 DM,< 1 year,4,male : single,none,2,real estate,23,bank,own,1,unskilled - resident,1,No,Yes
939,No,0 <= ... < 200 DM,36,delay in paying off in the past,car (new),8086,100 <= ... < 500 DM,>= 7 years,2,male : single,none,4,car or other,42,stores,own,4,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
940,No,no checking account,48,critical account/ other credits existing (not at this bank),car (new),10127,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,2,unknown / no property,44,none,for free,1,skilled employee / official,1,No,Yes
941,No,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),888,< 100 DM,>= 7 years,4,male : single,none,4,car or other,41,bank,own,1,unskilled - resident,2,No,Yes
942,No,no checking account,12,existing credits paid back duly till now,education,719,< 100 DM,>= 7 years,4,male : single,none,4,car or other,41,bank,own,1,unskilled - resident,2,No,Yes
943,No,0 <= ... < 200 DM,36,existing credits paid back duly till now,car (new),12389,unknown/ no savings account,1 <= ... < 4 years,1,male : single,none,4,unknown / no property,37,bank,for free,1,skilled employee / official,1,Yes,Yes
944,No,... < 0 DM,12,existing credits paid back duly till now,radio/television,709,< 100 DM,>= 7 years,4,male : single,none,4,real estate,57,none,own,1,unskilled - resident,1,No,Yes
945,No,0 <= ... < 200 DM,15,all credits at this bank paid back duly,car (new),6850,100 <= ... < 500 DM,unemployed,1,male : single,none,2,building society savings agreement/ life insurance,34,stores,own,1,management/ self-employed/ highly qualified employee/ officer,2,Yes,Yes
946,No,no checking account,10,existing credits paid back duly till now,furniture/equipment,2210,< 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,25,none,rent,1,unskilled - resident,1,No,Yes
947,No,no checking account,30,all credits at this bank paid back duly,car (used),7485,unknown/ no savings account,unemployed,4,female : divorced/separated/married,none,1,real estate,53,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
948,No,... < 0 DM,18,all credits at this bank paid back duly,car (new),1442,< 100 DM,4 <= ... < 7 years,4,male : single,none,4,unknown / no property,32,bank,for free,2,unskilled - resident,2,No,Yes
949,No,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,797,unknown/ no savings account,>= 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,33,none,own,1,unskilled - resident,2,No,Yes
950,No,0 <= ... < 200 DM,45,critical account/ other credits existing (not at this bank),radio/television,4746,< 100 DM,< 1 year,4,male : single,none,2,building society savings agreement/ life insurance,24,bank,own,2,unskilled - resident,1,No,Yes
951,No,... >= 200 DM / salary assignments for at least 1 year,12,critical account/ other credits existing (not at this bank),car (new),939,500 <= ... < 1000 DM,4 <= ... < 7 years,4,male : married/widowed,none,2,real estate,28,none,own,3,skilled employee / official,1,Yes,Yes
952,No,0 <= ... < 200 DM,21,existing credits paid back duly till now,business,1188,< 100 DM,>= 7 years,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,39,none,own,1,skilled employee / official,2,No,Yes
953,No,no checking account,48,critical account/ other credits existing (not at this bank),car (used),11590,100 <= ... < 500 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,24,none,rent,2,unskilled - resident,1,No,Yes
954,No,... >= 200 DM / salary assignments for at least 1 year,12,all credits at this bank paid back duly,business,609,< 100 DM,< 1 year,4,female : divorced/separated/married,none,1,real estate,26,bank,own,1,unemployed/ unskilled - non-resident,1,No,Yes
955,No,... < 0 DM,18,critical account/ other credits existing (not at this bank),repairs,1190,< 100 DM,unemployed,2,female : divorced/separated/married,none,4,unknown / no property,55,none,for free,3,unemployed/ unskilled - non-resident,2,No,Yes
956,No,0 <= ... < 200 DM,21,existing credits paid back duly till now,business,2767,100 <= ... < 500 DM,>= 7 years,4,male : divorced/separated,none,2,car or other,61,none,rent,2,unskilled - resident,1,No,Yes
957,No,0 <= ... < 200 DM,30,existing credits paid back duly till now,furniture/equipment,3441,100 <= ... < 500 DM,1 <= ... < 4 years,2,female : divorced/separated/married,co-applicant,4,car or other,21,bank,rent,1,skilled employee / official,1,No,Yes
958,No,0 <= ... < 200 DM,30,no credits taken/ all credits paid back duly,business,4280,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,car or other,26,none,rent,2,unskilled - resident,1,No,Yes
959,No,0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,3092,100 <= ... < 500 DM,< 1 year,3,male : married/widowed,none,2,car or other,22,none,rent,1,skilled employee / official,1,Yes,Yes
960,No,no checking account,18,existing credits paid back duly till now,car (new),6761,unknown/ no savings account,1 <= ... < 4 years,2,male : single,none,4,car or other,68,stores,rent,2,skilled employee / official,1,No,Yes
961,No,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1331,< 100 DM,< 1 year,2,male : single,none,1,car or other,22,none,own,1,skilled employee / official,1,No,Yes
962,No,0 <= ... < 200 DM,54,no credits taken/ all credits paid back duly,business,15945,< 100 DM,< 1 year,3,male : single,none,4,unknown / no property,58,none,rent,1,skilled employee / official,1,Yes,Yes
963,No,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,3234,< 100 DM,< 1 year,4,female : divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled - resident,1,Yes,Yes
964,No,0 <= ... < 200 DM,15,existing credits paid back duly till now,radio/television,802,< 100 DM,>= 7 years,4,male : single,none,3,car or other,37,none,own,1,skilled employee / official,2,No,Yes
965,No,0 <= ... < 200 DM,48,existing credits paid back duly till now,furniture/equipment,9960,< 100 DM,< 1 year,1,female : divorced/separated/married,none,2,car or other,26,bank,own,1,skilled employee / official,1,Yes,Yes
966,No,no checking account,24,delay in paying off in the past,business,8648,< 100 DM,< 1 year,2,male : single,none,2,car or other,27,bank,own,2,skilled employee / official,1,Yes,Yes
967,No,... < 0 DM,18,existing credits paid back duly till now,radio/television,1345,< 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,3,real estate,26,none,own,1,skilled employee / official,1,No,Yes
